State,Field,Year,Number_of_isolates,Number_of_Species,Long,Lat,Sampling_date,OTU,Chao,chao_lci,chao_hci,shannon,shannon_lci,shannon_hci,Precipitation,Temp
INSO2,INSO2_1,2012,2,2,-85.697,40.278,6-4-12,2,3,2.0811,14.3262,0.6931,0.0002,1.3861,49.73,19.42
INSO2,INSO2_2,2012,10,5,-86.76102,40.53465,6-13-12,9,23,11.9205,76.1121,2.164,1.7359,2.592,47.19,20.08
INSO2,INSO2_3,2012,3,1,-87.48714,38.74213,6-14-12,1,1,1,1.501,0,0,0,42.34,22.08
INSO2,INSO2_4,2012,10,4,-86.76155,40.53302,6-15-12,8,29,13.1544,93.5578,1.973,1.4915,2.4545,47.19,20.08
INSO2,INSO2_6,2012,8,6,-86.81165,40.33072,6-20-12,6,8,6.2499,22.0062,1.7329,1.2771,2.1887,45.82,20.03
KSSO2,KSSO2_1,2012,18,8,-98.434,39.465,6-22-12,8,13,8.7779,40.1391,1.7061,1.2515,2.1606,48.09,22.11
KSSO2,KSSO2_2,2012,37,10,-96.7396,39.7405,6-25-12,15,33.3333,19.4766,90.0814,2.1077,1.7242,2.4913,71.13,21.78
KSSO2,KSSO2_3,2012,10,6,-98.4652,37.7897,6-26-12,8,13,8.8648,36.9092,2.0253,1.6025,2.4481,45.23,22.85
KSSO2,KSSO2_4,2012,4,3,-100.8203,37.99,6-27-12,4,10,4.9802,40.7257,1.3863,0.7862,1.9864,35.57,21.94
KSSO2,KSSO2_5,2012,11,9,-98.1008,39.7211,6-26-12,10,28,13.985,91.3051,2.2719,1.8622,2.6815,65.96,21.75
KSSO2,KSSO2_6,2012,14,6,-95.9954,39.7175,7-5-12,7,12,7.7779,39.1391,1.5671,1.0362,2.098,63.07,21.59
MISO2,MISO2_1,2012,28,10,-84.55694,43.29162,6-6-12,22,117,50.1075,343.0887,2.8987,2.5455,3.252,60.9,14.29
MISO2,MISO2_2,2012,31,13,-84.02376,42.6505,6-14-12,23,86.3333,42.2045,231.8634,2.9052,2.5545,3.2558,60.62,17.28
MISO2,MISO2_3,2012,27,8,-86.07404,42.68218,6-21-12,14,92,41.2383,237.3619,1.9756,1.4465,2.5047,60.49,18.2
MISO2,MISO2_4,2012,4,4,-85.13419,42.87173,6-21-12,4,10,4.9802,40.7257,1.3863,0.7862,1.9864,66.18,17.29
MISO2,MISO2_5,2012,13,9,-84.13858,43.06937,6-22-12,10,19.3333,11.9371,54.9707,2.2539,1.8611,2.6466,64.92,17.09
MISO2,MISO2_6,2012,17,10,-84.15174,43.01947,6-22-12,15,41,21.816,114.1789,2.6701,2.3346,3.0057,65.9,17
MISO2,MISO2_7,2012,17,4,-84.52875,43.72331,7-3-12,8,11.3333,8.5035,30.0699,1.6916,1.2044,2.1788,66.94,16.81
MNSO2,MNSO2_1,2012,15,9,-93.523217,44.068683,6-1-12,12,21,14.0023,52.4533,2.4308,2.0795,2.7821,99.44,17.8
MNSO2,MNSO2_2,2012,5,4,-94.825167,44.673167,6-4-12,5,15,6.9462,56.3816,1.6094,1.0551,2.1638,103.36,18.03
MNSO2,MNSO2_3,2012,35,16,-95.31908,44.2572,6-4-12,29,84.2,47.8112,190.9801,3.3027,3.0572,3.5483,95.56,18.47
MNSO2,MNSO2_4,2012,9,4,-94.314,44.861,6-4-12,6,9,6.3913,28.9985,1.677,1.2076,2.1464,126.68,17.9
MNSO2,MNSO2_5,2012,20,6,-96.694717,46.648617,6-12-12,11,21.5,13.0346,65.1881,2.1945,1.8369,2.5521,66.41,16.83
MNSO2,MNSO2_6,2012,47,13,-96.634,46.977267,6-12-12,25,52.2,33.2633,114.5336,2.9111,2.6258,3.1963,68.3,17.05
NDSO2,NDSO2_1,2012,39,6,-96.900283,47.00865,5-30-12,18,70.5,32.2737,211.0994,2.1518,1.7068,2.5968,50.51,17.22
NDSO2,NDSO2_2,2012,32,10,-96.972117,47.15895,5-30-12,19,71.5,33.2737,212.0994,2.6617,2.3309,2.9925,45.4,17.19
NDSO2,NDSO2_3,2012,9,4,-97.02085,47.285567,5-30-12,8,18.5,10.0346,62.1881,2.0432,1.5944,2.492,45.48,17.04
NDSO2,NDSO2_4,2012,25,7,-96.837733,46.630467,5-31-12,18,78,34.6538,234.1664,2.6186,2.2115,3.0256,59.9,17.12
NDSO2,NDSO2_5,2012,24,6,-97.055417,46.629733,5-31-12,12,57,25.6823,160.0013,2.0188,1.5741,2.4635,55.73,17.12
NDSO2,NDSO2_6,2012,34,11,-97.271733,46.6292,5-31-12,26,83.75,44.6301,205.0143,3.0878,2.7822,3.3935,53.66,17.03
NESO2,NESO2_2,2012,4,3,-96.917442,41.293428,5-25-12,4,10,4.9802,40.7257,1.3863,0.7862,1.9864,66.45,20.4
NESO2,NESO2_5,2012,23,8,-96.184086,41.742928,6-15-12,17,62.5,29.0856,188.2986,2.6908,2.3529,3.0287,69.2,20.99
NESO2,NESO2_6,2012,23,14,-96.453247,41.181206,6-24-12,17,43,23.816,116.1789,2.7284,2.417,3.0397,67.44,20.72
SDSO2,SDSO2_1,2012,19,11,-97.548867,44.29075,6-6-12,14,23,16.1304,52.0208,2.5823,2.2623,2.9023,81.24,18.21
SDSO2,SDSO2_2,2012,29,14,-97.5534,44.26895,6-10-12,22,73,36.991,195.5042,2.9668,2.6716,3.262,83.59,18.22
SDSO2,SDSO2_4,2012,36,18,-96.7887,44.127417,6-15-12,27,62,38.6899,131.7914,3.1989,2.942,3.4558,81.98,17.87
SDSO2,SDSO2_5,2012,21,10,-96.591783,44.080433,6-12-12,15,37,20.5807,101.7277,2.5293,2.1525,2.9061,91.64,17.75
SDSO2,SDSO2_6,2012,12,10,-96.587067,43.887183,6-14-12,11,33.5,16.2316,107.7672,2.3694,1.976,2.7628,77.46,18.13
